year,MONTANA MALE/Predictions
1994,176
1996,209
1998,168
2000,198
2002,175
2004,231
2006,221
2008,227
2010,196
2012,238
2014,191
2016,256
2018,247
2020,299
2022,265
2024,272
2026,278
2028,285
2030,291
