year,RHODE ISLAND MALE/Predictions
1994,178
1996,201
1998,168
2000,193
2002,180
2004,213
2006,197
2008,228
2010,168
2012,212
2014,154
2016,213
2018,186
2020,246
2022,210
2024,212
2026,214
2028,216
2030,218
