year,ARKANSAS HISPANIC ORIGIN/Predictions
1994,5
1996,2
1998,99
2000,3
2002,15
2004,7
2006,10
2008,3
2010,10
2012,14
2014,14
2016,24
2018,21
2020,29
2022,16
2024,16
2026,16
2028,16
2030,16
