year,IDAHO TOTAL/Predictions
1994,405
1996,502
1998,396
2000,500
2002,425
2004,585
2006,523
2008,644
2010,498
2012,679
2014,462
2016,714
2018,587
2020,843
2022,725
2024,747
2026,770
2028,793
2030,816
