year,ALASKA WHITE/Predictions
1994,198
1996,203
1998,5
2000,227
2002,190
2004,249
2006,202
2008,251
2010,209
2012,232
2014,188
2016,234
2018,193
2020,243
2022,241
2024,246
2026,251
2028,257
2030,262
