year,MINNESOTA HISPANIC ORIGIN/Predictions
1994,5
1996,10
1998,14
2000,9
2002,25
2004,49
2006,20
2008,35
2010,30
2012,44
2014,34
2016,50
2018,37
2020,98
2022,66
2024,71
2026,75
2028,80
2030,84
