year,KANSAS FEMALE/Predictions
1994,465
1996,596
1998,389
2000,620
2002,496
2004,633
2006,483
2008,667
2010,474
2012,682
2014,509
2016,673
2018,598
2020,676
2022,654
2024,665
2026,676
2028,688
2030,699
