year,OHIO TOTAL/Predictions
1994,3805
1996,4811
1998,3685
2000,4823
2002,3652
2004,5485
2006,4408
2008,5483
2010,3824
2012,5395
2014,3378
2016,5408
2018,4538
2020,6128
2022,5246
2024,5328
2026,5410
2028,5493
2030,5575
