year,WYOMING TOTAL/Predictions
1994,212
1996,230
1998,188
2000,219
2002,198
2004,247
2006,199
2008,250
2010,190
2012,247
2014,172
2016,277
2018,220
2020,280
2022,246
2024,249
2026,252
2028,255
2030,258
