year,UTAH WHITE/Predictions
1994,537
1996,698
1998,17
2000,815
2002,618
2004,1003
2006,588
2008,909
2010,676
2012,989
2014,678
2016,1181
2018,1171
2020,1293
2022,1222
2024,1278
2026,1335
2028,1392
2030,1448
