year,IDAHO WHITE/Predictions
1994,399
1996,493
1998,7
2000,496
2002,419
2004,571
2006,515
2008,621
2010,483
2012,661
2014,452
2016,687
2018,555
2020,806
2022,723
2024,751
2026,779
2028,808
2030,836
