year,MISSISSIPPI MALE/Predictions
1994,404
1996,495
1998,329
2000,535
2002,383
2004,538
2006,379
2008,648
2010,425
2012,710
2014,413
2016,657
2018,531
2020,680
2022,635
2024,651
2026,668
2028,685
2030,702
