year,WISCONSIN BLACK/Predictions
1994,39
1996,76
1998,1833
2000,91
2002,70
2004,133
2006,89
2008,145
2010,89
2012,178
2014,93
2016,92
2018,110
2020,114
2022,-3
2024,-33
2026,-63
2028,-94
2030,-124
