year,TEXAS WHITE/Predictions
1994,4447
1996,5392
1998,623
2000,6042
2002,4385
2004,6706
2006,4711
2008,6978
2010,4631
2012,6900
2014,4820
2016,7700
2018,7158
2020,9612
2022,8199
2024,8530
2026,8860
2028,9190
2030,9521
