year,ARKANSAS WHITE/Predictions
1994,645
1996,786
1998,1
2000,755
2002,752
2004,966
2006,792
2008,931
2010,713
2012,941
2014,661
2016,1032
2018,756
2020,1014
2022,988
2024,1018
2026,1047
2028,1077
2030,1106
