year,NORTH DAKOTA BLACK/Predictions
1994,0
1996,1
1998,250
2000,1
2002,1
2004,1
2006,0
2008,1
2010,0
2012,2
2014,2
2016,3
2018,1
2020,2
2022,-17
2024,-21
2026,-26
2028,-31
2030,-36
