year,MISSISSIPPI BLACK/Predictions
1994,308
1996,322
1998,520
2000,357
2002,260
2004,466
2006,362
2008,524
2010,351
2012,613
2014,357
2016,537
2018,476
2020,573
2022,543
2024,558
2026,573
2028,589
2030,604
