year,WASHINGTON MALE/Predictions
1994,868
1996,1157
1998,897
2000,1196
2002,997
2004,1343
2006,1103
2008,1439
2010,1289
2012,1491
2014,1125
2016,1525
2018,1541
2020,1806
2022,1668
2024,1722
2026,1775
2028,1828
2030,1881
