year,MONTANA HISPANIC ORIGIN/Predictions
1994,5
1996,3
1998,0
2000,8
2002,4
2004,5
2006,2
2008,8
2010,9
2012,7
2014,8
2016,11
2018,11
2020,14
2022,12
2024,13
2026,13
2028,14
2030,15
