year,NEW MEXICO FEMALE/Predictions
1994,278
1996,341
1998,315
2000,361
2002,279
2004,445
2006,387
2008,451
2010,308
2012,474
2014,342
2016,423
2018,387
2020,488
2022,454
2024,464
2026,475
2028,485
2030,495
