year,NEW HAMPSHIRE TOTAL/Predictions
1994,347
1996,518
1998,357
2000,571
2002,485
2004,677
2006,477
2008,708
2010,470
2012,688
2014,509
2016,698
2018,576
2020,797
2022,723
2024,744
2026,766
2028,787
2030,809
