year,NORTH CAROLINA TOTAL/Predictions
1994,1864
1996,2897
1998,2180
2000,2995
2002,2537
2004,3639
2006,2422
2008,4370
2010,3009
2012,4624
2014,3170
2016,4700
2018,3899
2020,4780
2022,4736
2024,4919
2026,5103
2028,5286
2030,5469
