year,MICHIGAN TOTAL/Predictions
1994,3623
1996,4080
1998,3590
2000,4343
2002,3684
2004,4818
2006,4088
2008,4865
2010,3394
2012,4832
2014,3416
2016,4713
2018,4418
2020,4994
2022,4655
2024,4716
2026,4776
2028,4836
2030,4896
