year,UNITED STATES BLACK/Predictions
1994,8095
1996,11386
1998,71871
2000,12917
2002,9695
2004,14016
2006,9937
2008,16133
2010,11149
2012,17813
2014,11078
2016,17119
2018,15194
2020,18922
2022,12828
2024,12202
2026,11576
2028,10950
2030,10324
