year,NEW MEXICO TOTAL/Predictions
1994,552
1996,627
1998,604
2000,647
2002,547
2004,837
2006,731
2008,846
2010,579
2012,878
2014,646
2016,765
2018,715
2020,938
2022,846
2024,865
2026,883
2028,902
2030,920
