year,WISCONSIN HISPANIC ORIGIN/Predictions
1994,3
1996,24
1998,66
2000,31
2002,20
2004,67
2006,36
2008,66
2010,38
2012,71
2014,53
2016,111
2018,84
2020,101
2022,99
2024,105
2026,111
2028,117
2030,123
