year,IDAHO BLACK/Predictions
1994,0
1996,0
1998,392
2000,0
2002,1
2004,0
2006,0
2008,8
2010,4
2012,0
2014,0
2016,2
2018,6
2020,4
2022,-25
2024,-33
2026,-40
2028,-48
2030,-55
