year,CALIFORNIA HISPANIC ORIGIN/Predictions
1994,1183
1996,1291
1998,669
2000,1597
2002,1206
2004,2081
2006,1717
2008,2961
2010,2058
2012,3157
2014,1707
2016,3345
2018,3300
2020,4539
2022,3874
2024,4097
2026,4320
2028,4543
2030,4766
