year,VIRGINIA TOTAL/Predictions
1994,2204
1996,2796
1998,1496
2000,2962
2002,1808
2004,3134
2006,2431
2008,3650
2010,2257
2012,3778
2014,2453
2016,3973
2018,3319
2020,4275
2022,3881
2024,4013
2026,4144
2028,4276
2030,4407
