year,RHODE ISLAND HISPANIC ORIGIN/Predictions
1994,6
1996,7
1998,9
2000,4
2002,12
2004,13
2006,19
2008,20
2010,10
2012,32
2014,13
2016,57
2018,30
2020,36
2022,39
2024,42
2026,44
2028,47
2030,50
