year,UTAH MALE/Predictions
1994,260
1996,329
1998,266
2000,386
2002,295
2004,494
2006,294
2008,431
2010,338
2012,494
2014,339
2016,613
2018,568
2020,647
2022,594
2024,618
2026,643
2028,667
2030,692
