year,MAINE WHITE/Predictions
1994,527
1996,623
1998,2
2000,670
2002,589
2004,714
2006,585
2008,698
2010,596
2012,682
2014,616
2016,720
2018,669
2020,739
2022,759
2024,780
2026,801
2028,822
2030,844
