year,MICHIGAN FEMALE/Predictions
1994,1924
1996,2215
1998,1901
2000,2287
2002,1977
2004,2558
2006,2142
2008,2616
2010,1787
2012,2559
2014,1864
2016,2563
2018,2346
2020,2616
2022,2478
2024,2510
2026,2542
2028,2574
2030,2606
