year,NEW YORK BLACK/Predictions
1994,639
1996,940
1998,4745
2000,996
2002,752
2004,1042
2006,742
2008,1075
2010,892
2012,1456
2014,762
2016,1350
2018,1182
2020,1459
2022,1033
2024,999
2026,965
2028,931
2030,897
