year,WYOMING BLACK/Predictions
1994,2
1996,0
1998,183
2000,1
2002,0
2004,1
2006,0
2008,1
2010,2
2012,1
2014,3
2016,3
2018,2
2020,1
2022,-11
2024,-15
2026,-18
2028,-22
2030,-25
