year,KENTUCKY MALE/Predictions
1994,515
1996,686
1998,652
2000,760
2002,693
2004,884
2006,743
2008,892
2010,704
2012,843
2014,754
2016,861
2018,789
2020,1057
2022,944
2024,967
2026,990
2028,1013
2030,1036
