year,CONNECTICUT BLACK/Predictions
1994,59
1996,89
1998,1034
2000,135
2002,84
2004,117
2006,81
2008,121
2010,93
2012,159
2014,83
2016,142
2018,124
2020,184
2022,79
2024,66
2026,52
2028,39
2030,26
