year,ARKANSAS BLACK/Predictions
1994,95
1996,156
1998,685
2000,173
2002,130
2004,145
2006,101
2008,133
2010,100
2012,155
2014,116
2016,186
2018,132
2020,146
2022,101
2024,91
2026,81
2028,72
2030,62
