year,LOUISIANA BLACK/Predictions
1994,281
1996,553
1998,738
2000,564
2002,434
2004,606
2006,319
2008,625
2010,480
2012,692
2014,533
2016,646
2018,531
2020,607
2022,612
2024,621
2026,630
2028,639
2030,648
