year,MAINE HISPANIC ORIGIN/Predictions
1994,1
1996,1
1998,0
2000,3
2002,3
2004,7
2006,0
2008,8
2010,2
2012,4
2014,3
2016,7
2018,3
2020,7
2022,6
2024,6
2026,6
2028,7
2030,7
