year,WYOMING HISPANIC ORIGIN/Predictions
1994,5
1996,6
1998,0
2000,6
2002,7
2004,10
2006,9
2008,7
2010,6
2012,8
2014,6
2016,12
2018,13
2020,21
2022,14
2024,15
2026,16
2028,17
2030,17
