year,OHIO HISPANIC ORIGIN/Predictions
1994,21
1996,30
1998,384
2000,43
2002,29
2004,90
2006,58
2008,74
2010,38
2012,98
2014,36
2016,100
2018,60
2020,175
2022,87
2024,87
2026,86
2028,86
2030,86
