year,COLORADO MALE/Predictions
1994,646
1996,832
1998,742
2000,805
2002,733
2004,1016
2006,805
2008,1123
2010,871
2012,1179
2014,1059
2016,1297
2018,1144
2020,1355
2022,1326
2024,1374
2026,1421
2028,1468
2030,1516
