year,OHIO BLACK/Predictions
1994,299
1996,406
1998,3272
2000,502
2002,396
2004,586
2006,397
2008,630
2010,389
2012,699
2014,403
2016,637
2018,519
2020,678
2022,419
2024,381
2026,344
2028,306
2030,269
