year,SOUTH CAROLINA MALE/Predictions
1994,581
1996,660
1998,593
2000,752
2002,638
2004,862
2006,605
2008,926
2010,777
2012,940
2014,699
2016,992
2018,828
2020,1158
2022,1019
2024,1050
2026,1081
2028,1112
2030,1144
