year,NEBRASKA BLACK/Predictions
1994,13
1996,14
1998,526
2000,23
2002,14
2004,21
2006,12
2008,24
2010,5
2012,29
2014,21
2016,30
2018,15
2020,44
2022,-9
2024,-18
2026,-27
2028,-36
2030,-45
