year,WEST VIRGINIA MALE/Predictions
1994,235
1996,321
1998,228
2000,341
2002,249
2004,367
2006,245
2008,350
2010,266
2012,332
2014,236
2016,335
2018,294
2020,379
2022,331
2024,336
2026,340
2028,345
2030,349
