year,ARIZONA HISPANIC ORIGIN/Predictions
1994,122
1996,163
1998,32
2000,247
2002,155
2004,296
2006,272
2008,291
2010,407
2012,400
2014,364
2016,543
2018,588
2020,814
2022,675
2024,721
2026,766
2028,812
2030,857
