year,ALASKA MALE/Predictions
1994,111
1996,113
1998,109
2000,133
2002,111
2004,146
2006,119
2008,152
2010,127
2012,140
2014,128
2016,152
2018,133
2020,165
2022,154
2024,157
2026,160
2028,163
2030,166
