year,ARKANSAS FEMALE/Predictions
1994,397
1996,502
1998,422
2000,512
2002,487
2004,617
2006,480
2008,615
2010,459
2012,593
2014,434
2016,667
2018,488
2020,640
2022,602
2024,613
2026,623
2028,634
2030,645
