year,INDIANA TOTAL/Predictions
1994,1620
1996,2367
1998,1751
2000,2564
2002,1856
2004,2598
2006,2053
2008,2758
2010,1826
2012,2801
2014,1646
2016,2795
2018,2364
2020,3002
2022,2681
2024,2734
2026,2787
2028,2840
2030,2892
