year,HAWAII TOTAL/Predictions
1994,391
1996,361
1998,411
2000,340
2002,363
2004,433
2006,388
2008,457
2010,385
2012,480
2014,399
2016,460
2018,427
2020,630
2022,508
2024,520
2026,531
2028,543
2030,554
