year,MARYLAND BLACK/Predictions
1994,405
1996,502
1998,1329
2000,698
2002,431
2004,598
2006,584
2008,788
2010,505
2012,788
2014,581
2016,858
2018,630
2020,971
2022,779
2024,791
2026,803
2028,815
2030,827
