year,KENTUCKY WHITE/Predictions
1994,916
1996,1419
1998,0
2000,1515
2002,1285
2004,1765
2006,1413
2008,1794
2010,1383
2012,1733
2014,1367
2016,1669
2018,1587
2020,1997
2022,1934
2024,2003
2026,2072
2028,2141
2030,2209
