year,VIRGINIA MALE/Predictions
1994,1032
1996,1240
1998,719
2000,1344
2002,905
2004,1444
2006,1144
2008,1641
2010,1047
2012,1709
2014,1200
2016,1806
2018,1578
2020,1981
2022,1806
2024,1868
2026,1930
2028,1991
2030,2053
