year,CONNECTICUT MALE/Predictions
1994,597
1996,648
1998,552
2000,605
2002,514
2004,704
2006,572
2008,760
2010,577
2012,712
2014,588
2016,718
2018,662
2020,767
2022,715
2024,725
2026,735
2028,745
2030,755
