year,VERMONT BLACK/Predictions
1994,0
1996,1
1998,227
2000,0
2002,1
2004,0
2006,0
2008,3
2010,1
2012,3
2014,0
2016,1
2018,1
2020,1
2022,-15
2024,-20
2026,-24
2028,-29
2030,-33
