year,UNITED STATES/Predictions
1994,85702
1996,105017
1998,83098
2000,110826
2002,88903
2004,125736
2006,96119
2008,131144
2010,95987
2012,132948
2014,92251
2016,137537
2018,122281
2020,154628
2022,138153
2024,141695
2026,145238
2028,148781
2030,152323
