year,ALASKA TOTAL/Predictions
1994,233
1996,240
1998,222
2000,270
2002,230
2004,293
2006,248
2008,304
2010,242
2012,289
2014,255
2016,308
2018,263
2020,330
2022,305
2024,310
2026,315
2028,321
2030,326
