year,NORTH DAKOTA FEMALE/Predictions
1994,133
1996,151
1998,133
2000,159
2002,150
2004,172
2006,132
2008,174
2010,134
2012,163
2014,143
2016,180
2018,175
2020,185
2022,176
2024,179
2026,181
2028,184
2030,187
