year,NORTH DAKOTA TOTAL/Predictions
1994,270
1996,300
1998,262
2000,313
2002,279
2004,330
2006,259
2008,321
2010,266
2012,328
2014,279
2016,362
2018,335
2020,373
2022,346
2024,352
2026,357
2028,363
2030,368
