year,NORTH CAROLINA BLACK/Predictions
1994,346
1996,490
1998,1654
2000,626
2002,497
2004,784
2006,408
2008,919
2010,582
2012,1203
2014,735
2016,1094
2018,852
2020,1083
2022,1014
2024,1042
2026,1070
2028,1098
2030,1126
