year,MISSISSIPPI WHITE/Predictions
1994,514
1996,745
1998,4
2000,854
2002,589
2004,786
2006,510
2008,896
2010,623
2012,951
2014,536
2016,918
2018,688
2020,921
2022,884
2024,912
2026,939
2028,966
2030,993
