year,MICHIGAN WHITE/Predictions
1994,3077
1996,3483
1998,52
2000,3767
2002,3199
2004,4083
2006,3412
2008,4065
2010,2873
2012,4065
2014,2875
2016,3984
2018,3724
2020,4144
2022,4118
2024,4221
2026,4324
2028,4428
2030,4531
